control1	control2	control3	moon1	moon2	moon3
7.62775852839011	6.21742843820975	4.93159807014028	5.84452121108884	5.28860231195725	7.65178427054108
1.77939	1.421604	1.367773	2.449823	1.567896	1.325006
10.1891237488494	9.90028956213018	9.87642238921762	10.0718043155819	7.67416920710059	10.5305154069691
2.256922	1.903556	1.526033	1.898044	1.602772	1.853458
1.78157054320988	2.24984826748971	1.31089132510288	1.42863832716049	2.35538980864198	3.04244269753086
1.2783463644958	1.63427791281513	1	1.16972041176471	1.38863472689076	2.34499602415966
3.44417	2.83591	2.783335	3.20374	2.378238	4.825631
1.222976	1.801776	1.279561	1.383433	1.543939	2.331782
6.68190593273986	12.8919009930762	4.94397070227498	5.1174629396637	4.43037385954501	6.39036398417409
12.188926	18.695045	19.591269	11.913714	11.532451	12.951926
1	1	1	1	1	1
1.085092	1	1	1.144984	1.095609	1.042817
245.329275085094	287.868144753855	314.207979968018	258.962839328384	265.984989902913	327.219866163335
1	1	1	1.038962	1	1
8.91724353560372	15.4844897832817	7.81935588014153	11.9193434949138	11.1724416824414	14.142336896506
1.18953512532575	1.16011209002606	1.17738932527837	1.20894580999763	1.156949	1.20292268443497
1	1	1.031584	1	1	1
1	1	1	1	1	1
84.739975	110.891502	101.853981	62.675446	70.095589	76.12207
3.935727	4.570469	2.129952	3.3137	5.089768	6.852981
1.054947	1.338292	1.077157	1.167621	1.158381	1.429039
1.12910508326429	1.35901471830986	1.14838681607291	1.32478611184756	1.43746249544325	1.68292517025684
1.007631	1	1	1	1	1
1	1	1	1	1	1
7.84554526272913	10.3575261181263	8.7207548119484	7.69461854107264	7.64121695790903	9.44366805227427
2.291235	4.196391	2.72483	1.8076	2.452395	2.919755
1.144351	1.11741103645541	1.134635	1.075699	1.224864	1.069456
24.855215	29.856855	26.397625	23.595842	24.044037	23.487576
2.31866287056367	2.89179949686848	2.60761038622129	3.09787291649269	2.29971138830898	2.66718977661795
17.965942	30.02183	25.121103	15.858438	16.653543	19.861404
1.47718014389439	1.90690517755776	1.61776062838284	1.73862016567657	1.47888514686469	1.61313397227723
9.0931	9.797329	7.986155	7.780373	7.734587	9.268347
8.05277311361546	6.23392249540018	5.42487174793008	8.03396210763569	6.31031792824287	7.25727843100276
6.944567	4.271958	13.09346	9.250504	2.243306	2.574991
